"country","name","birth_date","gender","disciplines"
"Luxembourg","KLEIN Pit","1996-09-12","Male","'Archery'"
"Luxembourg","DALEIDEN CIUFERRI Ralph","2003-03-25","Male","'Swimming'"
"Luxembourg","MLADENOVIC Luka","1998-12-26","Male","'Table Tennis'"
"Luxembourg","de NUTTE Sarah","1992-11-21","Female","'Table Tennis'"
"Luxembourg","WAGNER EHLINGER Nicolas","1992-01-02","Male","'Equestrian'"
"Luxembourg","NI Xia Lian","1963-07-04","Female","'Table Tennis'"
"Hungary","TAKACS Kincso","1993-09-17","Female","'Canoe Sprint'"
"Hungary","TOTKA Sandor","1994-07-27","Male","'Canoe Sprint'"
"Hungary","VARGA Adam","1999-11-20","Male","'Canoe Sprint'"
"France","GUAPO Laetitia","1995-10-25","Female","'3x3 Basketball'"
"France","LIMOUZIN Hortense","1998-07-01","Female","'3x3 Basketball'"
"Norway","AARDAHL Maren","1994-03-02","Female","'Handball'"
"Korea","KIM Yeongtaek","2001-08-24","Male","'Diving'"
"France","PAGET Marie Eve","1994-11-28","Female","'3x3 Basketball'"
"France","DJEKOUNDADE Myriam","1998-01-02","Female","'3x3 Basketball'"
"El Salvador","CANJURA ARTIGA Uriel Francisco","2000-09-12","Male","'Badminton'"
"El Salvador","HERNANDEZ Nixon","1997-10-08","Male","'Swimming'"
"El Salvador","MARQUEZ Celina","1999-07-16","Female","'Swimming'"
"Argentina","IGLESIAS Mauro","2000-08-15","Male","'Skateboarding'"
"El Salvador","PEREZ Bryan","1999-09-10","Male","'Surfing'"
"Nigeria","ANYANACHO Elizabeth Oluchi","1999-04-09","Female","'Taekwondo'"
"El Salvador","ARATHOON PACAS Enrique Jose","1992-01-18","Male","'Sailing'"
"Solomon Islands","FIRISUA Sharon","1993-12-15","Female","'Athletics'"
"Virgin Islands, B","LETTSOME Thad","2002-01-17","Male","'Sailing'"
"Cuba","de ARMAS RODRIGUEZ Kevin Yuran","1998-01-19","Male","'Wrestling'"
"Cuba","ORTA SANCHEZ Luis Alberto","1994-08-22","Male","'Wrestling'"
"Cuba","PENA FLORES Yosvanys","1993-12-24","Male","'Wrestling'"
"Cuba","ROSILLO KINDELAN Gabriel Alejandro","1999-01-04","Male","'Wrestling'"
"Cuba","LOPEZ NUNEZ Mijain","1982-08-20","Male","'Wrestling'"
