"name","medal_type","gender","country","event","isteam","url_event"
"HORACEK Tamara","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"FOPPA Pauletta","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"NZE MINKO Estelle","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"ONDONO Onacia","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"GRANIER Lucie","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"BOUKTIT Sarah","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"GRANDVEAU Lena","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"SAKO Hatadou","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"PALM Gabriella","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"GOFERS Keesja","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"ARMIT Elle","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"HALLIGAN Bronte","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"GREEN Sienna","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"ANDREWS Abby","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"ANDREWS Charlize","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"HEARN Sienna","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"ARANCINI Zoe","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"WILLIAMS Alice","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"KEARNS Tilly","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"JACKOVICH Danijela","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"LONGMAN Genevieve","Silver Medal","Female","Australia","Women",True,"/en/paris-2024/results/water-polo/women/fnl-000100--"
"FAUTHOUX Marine","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"CHERY Alexia","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"MICHEL BOURY Sarah","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"AYAYI Valeriane","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"RUPERT Iliana","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"SALAUN Janelle","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"MALONGA Dominique","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"WILLIAMS Gabby","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"BADIANE Marieme","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"JOHANNES Marine","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"LACAN Leila","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"BERNIES Romane","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/basketball/women/fnl-000100--"
"VALENZUELA Shalaya","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"PERRY Taylor","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"WARDLEY Keyara","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"LOGAN Piper","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"BERMUDEZ Fancy","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"SCURFIELD Krissy","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"NORSTEN Carissa","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
"SYMONDS Florence","Silver Medal","Female","Canada","Women",True,"/en/paris-2024/results/rugby-sevens/women/fnl-000100--"
